Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1688306979,nba,2019/02/27,$16K Wed NBA Block (Single Entry),$60k,278.50,,5728,9523,Tournament,2,0,https://www.fanduel.com/entry/DXANVFKUV,
S1688306912,nba,2019/02/27,$17K Wed NBA Dribbler (Single Entry),$60k,278.50,,11981,20238,Tournament,1,0,https://www.fanduel.com/entry/CPIQCXOAN,
S1687835269,nba,2019/02/26,$13K Tue NBA Block (Single Entry),$60k,252.90,,2717,7738,Tournament,2,0,https://www.fanduel.com/entry/CXJENZSMM,
S1687835260,nba,2019/02/26,$8K Tue NBA Swat (3 Entries Max),$60k,242.70,,4611,9523,Tournament,1,0,https://www.fanduel.com/entry/DSFKNTKKQ,
S1687835261,nba,2019/02/26,$8K Tue NBA Swat (3 Entries Max),$60k,252.90,,3453,9523,Tournament,1,0,https://www.fanduel.com/entry/DRRNBBYMU,
S1687835259,nba,2019/02/26,$8K Tue NBA Swat (3 Entries Max),$60k,223.70,,6807,9523,Tournament,1,0,https://www.fanduel.com/entry/AGXODXIDO,
S1687835222,nba,2019/02/26,$15K Tue NBA Dribbler (Single Entry),$60k,295.80,,645,17857,Tournament,1,3.00,https://www.fanduel.com/entry/ECJOUYHRO,
S1687473614,nba,2019/02/25,$15K Mon NBA Block (Single Entry),$60k,309.50,,553,8928,Tournament,2,5.00,https://www.fanduel.com/entry/ASRKKEZYO,
S1687473542,nba,2019/02/25,$10K Mon NBA Swat (3 Entries Max),$60k,246.30,,10766,11904,Tournament,1,0,https://www.fanduel.com/entry/DYQFXMFZU,
S1687473546,nba,2019/02/25,$10K Mon NBA Swat (3 Entries Max),$60k,258.70,,9362,11904,Tournament,1,0,https://www.fanduel.com/entry/DXOKYDIEC,
S1687473549,nba,2019/02/25,$10K Mon NBA Swat (3 Entries Max),$60k,294.80,,2370,11904,Tournament,1,2.00,https://www.fanduel.com/entry/DXANLLWGG,
S1687473328,nba,2019/02/25,$15K Mon NBA Dribbler (Single Entry),$60k,283.80,,6155,17857,Tournament,1,0,https://www.fanduel.com/entry/ARBRYEQFA,
S1685496320,nba,2019/02/22,$14K Fri NBA Block (Single Entry),$60k,302.80,,4557,8333,Tournament,2,0,https://www.fanduel.com/entry/AXMNWCPOI,
S1685496294,nba,2019/02/22,$9K Fri NBA Swat (3 Entries Max),$60k,302.80,,5867,10714,Tournament,1,0,https://www.fanduel.com/entry/CYKZGWVTO,
S1685496295,nba,2019/02/22,$9K Fri NBA Swat (3 Entries Max),$60k,302.80,,5867,10714,Tournament,1,0,https://www.fanduel.com/entry/CXXBUFJVS,
S1685496297,nba,2019/02/22,$9K Fri NBA Swat (3 Entries Max),$60k,302.80,,5867,10714,Tournament,1,0,https://www.fanduel.com/entry/CSOAXMURG,
S1685496141,nba,2019/02/22,$15K Fri NBA Dribbler (Single Entry),$60k,302.80,,8646,17857,Tournament,1,0,https://www.fanduel.com/entry/BRUWJTTJC,
S1685370193,nba,2019/02/21,50/50 League ($10 - Top 50% Win) (Main),$60k,269.30,,96,100,Tournament,10,0,https://www.fanduel.com/entry/ECJOHLUSW,
S1685363962,nba,2019/02/21,50/50 League ($10 - Top 50% Win) (Main),$60k,269.30,,92,100,Tournament,10,0,https://www.fanduel.com/entry/BEZESFRDI,
S1685235588,nba,2019/02/21,$500 Rookie Weekly FDP Loyalty Free Play (3 of 4),$60k,250.40,,5475,6750,Tournament,0,0,https://www.fanduel.com/entry/AEGAMCGAE,
S1684592221,nba,2019/02/21,$17K Thu NBA Block (Single Entry),$60k,295.30,,2473,10119,Tournament,2,0,https://www.fanduel.com/entry/EGCWNORWW,
S1684592196,nba,2019/02/21,$10K Thu NBA Swat (3 Entries Max),$60k,263.50,,8676,11904,Tournament,1,0,https://www.fanduel.com/entry/ELLXKHHBI,
S1684592198,nba,2019/02/21,$10K Thu NBA Swat (3 Entries Max),$60k,288.90,,4182,11904,Tournament,1,0,https://www.fanduel.com/entry/EKXZXPVDM,
S1684592200,nba,2019/02/21,$10K Thu NBA Swat (3 Entries Max),$60k,298.40,,2522,11904,Tournament,1,0,https://www.fanduel.com/entry/EKKCKYJFQ,
S1684592109,nba,2019/02/21,$16K Thu NBA Dribbler (Single Entry),$60k,269.30,,11675,19047,Tournament,1,0,https://www.fanduel.com/entry/CVFNXNNMS,
S1684591280,nhl,2019/02/19,$500 Rookie Weekly FDP Loyalty Free Play (2 of 4),$55k,114.40,,1322,3987,Tournament,0,0,https://www.fanduel.com/entry/AHZIQIQVU,
S1682901446,nba,2019/02/14,$10K Thu NBA Swat (3 Entries Max),$60k,218,,10198,11904,Tournament,1,0,https://www.fanduel.com/entry/EZXHLVNPW,
S1682901447,nba,2019/02/14,$10K Thu NBA Swat (3 Entries Max),$60k,208.50,,10941,11904,Tournament,1,0,https://www.fanduel.com/entry/EZJJZEBSA,
S1682901443,nba,2019/02/14,$10K Thu NBA Swat (3 Entries Max),$60k,244.80,,7080,11904,Tournament,1,0,https://www.fanduel.com/entry/FALEYMZNS,
S1682901404,nba,2019/02/14,$16K Thu NBA Block (Single Entry),$60k,174.30,,9490,9523,Tournament,2,0,https://www.fanduel.com/entry/FBMZYDJGQ,
S1682901325,nba,2019/02/14,$18K Thu NBA Dribbler (Single Entry),$60k,237.30,,14126,21428,Tournament,1,0,https://www.fanduel.com/entry/BQTBAYSXK,
S1682743840,pga,2019/02/14,$500 Rookie Weekly FDP Loyalty Free Play (1 of 4),$60k,236.90,,6009,6032,Tournament,0,0,https://www.fanduel.com/entry/BXDXGQBIW,
S1682218050,nba,2019/02/13,$16K Wed NBA Block (Single Entry),$60k,316.10,,1841,9523,Tournament,2,4.00,https://www.fanduel.com/entry/CNEZXQEOG,
S1682218035,nba,2019/02/13,$10K Wed NBA Swat (3 Entries Max),$60k,269.90,,8598,11904,Tournament,1,0,https://www.fanduel.com/entry/EQHBCUKAK,
S1682218037,nba,2019/02/13,$10K Wed NBA Swat (3 Entries Max),$60k,298.90,,4381,11904,Tournament,1,0,https://www.fanduel.com/entry/EUAJNMPLI,
S1682218038,nba,2019/02/13,$10K Wed NBA Swat (3 Entries Max),$60k,322,,1527,11904,Tournament,1,2.50,https://www.fanduel.com/entry/ETMMAVDNM,
S1682217921,nba,2019/02/13,$16K Wed NBA Dribbler (Single Entry),$60k,291.90,,7555,19047,Tournament,1,0,https://www.fanduel.com/entry/FFGIUAKNY,
S1681647641,nba,2019/02/12,$16K Tue NBA Block (Single Entry),$60k,273.40,,2967,9523,Tournament,2,0,https://www.fanduel.com/entry/CTBYASDZV,
S1681647628,nba,2019/02/12,$9K Tue NBA Swat (3 Entries Max),$60k,241.40,,7185,10714,Tournament,1,0,https://www.fanduel.com/entry/CRMFORUGH,
S1681647630,nba,2019/02/12,$9K Tue NBA Swat (3 Entries Max),$60k,211.90,,9668,10714,Tournament,1,0,https://www.fanduel.com/entry/CQYICAIIL,
S1681647631,nba,2019/02/12,$9K Tue NBA Swat (3 Entries Max),$60k,270.40,,3928,10714,Tournament,1,0,https://www.fanduel.com/entry/CURQMSNTJ,
S1681647325,nba,2019/02/12,$16K Tue NBA Dribbler (Single Entry),$60k,213.60,,16497,19047,Tournament,1,0,https://www.fanduel.com/entry/BMLVIEJXB,
S1681017010,nba,2019/02/11,$15K Mon NBA Block (Single Entry),$60k,277.40,,3996,8928,Tournament,2,0,https://www.fanduel.com/entry/DFJRSJTFX,
S1681016992,nba,2019/02/11,$12K Mon NBA Swat (3 Entries Max),$60k,273.20,,7117,14285,Tournament,1,0,https://www.fanduel.com/entry/EENDQCAHH,
S1681016993,nba,2019/02/11,$12K Mon NBA Swat (3 Entries Max),$60k,263.80,,9208,14285,Tournament,1,0,https://www.fanduel.com/entry/EDZGDKOJL,
S1681016994,nba,2019/02/11,$12K Mon NBA Swat (3 Entries Max),$60k,296.40,,2571,14285,Tournament,1,2.00,https://www.fanduel.com/entry/EDLIQTCLP,
S1681016965,nba,2019/02/11,$15K Mon NBA Dribbler (Single Entry),$60k,286.60,,5008,17857,Tournament,1,0,https://www.fanduel.com/entry/DPNVZOQMV,
S1680915200,nba,2019/02/10,$30K Sun NBA Block (Single Entry Series Pres. by RotoGrinders),$60k,248.80,,9963,11904,Tournament,3,0,https://www.fanduel.com/entry/FDCSQPNRI,
S1679886924,nba,2019/02/09,$9K Sat NBA Swat (3 Entries Max),$60k,245.30,,9051,10714,Tournament,1,0,https://www.fanduel.com/entry/CJLRBTDJA,
S1679886925,nba,2019/02/09,$9K Sat NBA Swat (3 Entries Max),$60k,245.30,,9051,10714,Tournament,1,0,https://www.fanduel.com/entry/CIXTPBRLE,
S1679886926,nba,2019/02/09,$9K Sat NBA Swat (3 Entries Max),$60k,245.30,,9051,10714,Tournament,1,0,https://www.fanduel.com/entry/CIJWCKFNI,
S1679886898,nba,2019/02/09,$40K Sat NBA Block (Single Entry Series Pres. by RotoGrinders),$60k,245.30,,13318,15873,Tournament,3,0,https://www.fanduel.com/entry/CQKKKMCHA,
S1679886878,nba,2019/02/09,$14K Sat NBA Dribbler (Single Entry),$60k,245.30,,13638,16666,Tournament,1,0,https://www.fanduel.com/entry/BLKADNNBY,
S1679313587,nba,2019/02/08,$10K Fri NBA Swat (3 Entries Max),$60k,301.70,,3030,11904,Tournament,1,0,https://www.fanduel.com/entry/DMWHCUEAX,
S1679313588,nba,2019/02/08,$10K Fri NBA Swat (3 Entries Max),$60k,301.70,,3030,11904,Tournament,1,0,https://www.fanduel.com/entry/DMIJQCSDB,
S1679313586,nba,2019/02/08,$10K Fri NBA Swat (3 Entries Max),$60k,301.70,,3030,11904,Tournament,1,0,https://www.fanduel.com/entry/DNKEPLPYT,
S1679313565,nba,2019/02/08,$40K Fri NBA Block (Single Entry Series Pres. by RotoGrinders),$60k,301.70,,4142,15873,Tournament,3,0,https://www.fanduel.com/entry/EZXFRYIYH,
S1679313525,nba,2019/02/08,$16K Fri NBA Dribbler (Single Entry),$60k,301.70,,4387,19047,Tournament,1,0,https://www.fanduel.com/entry/AOKCKTPWX,
S1679138348,nba,2019/02/07,$10K Thu NBA Swat (3 Entries Max),$60k,311.20,,3022,11904,Tournament,1,0,https://www.fanduel.com/entry/AOKDFGVGR,
S1679138349,nba,2019/02/07,$10K Thu NBA Swat (3 Entries Max),$60k,298.90,,4315,11904,Tournament,1,0,https://www.fanduel.com/entry/ANWFSPJIV,
S1679138351,nba,2019/02/07,$10K Thu NBA Swat (3 Entries Max),$60k,263.40,,8873,11904,Tournament,1,0,https://www.fanduel.com/entry/ANIIFXXKZ,
S1679138301,nba,2019/02/07,$18K Thu NBA Dribbler (Single Entry),$60k,297.50,,7590,21428,Tournament,1,0,https://www.fanduel.com/entry/CLBIOJNSR,
S1679138238,nba,2019/02/07,$45K Thu NBA Block (Single Entry Series Pres. by RotoGrinders),$60k,266.40,,12417,16991,Tournament,3,0,https://www.fanduel.com/entry/DPNVIQQZX,
S1678593475,nba,2019/02/06,$3_000 Rookie Monthly FDP Loyalty Free Play,$60k,258.60,,5261,7651,Tournament,0,0,https://www.fanduel.com/entry/CLPFDUYHE,
S1677995774,nba,2019/02/06,NBA tournament,$60k,,,0,,Cancelled,3,0,https://www.fanduel.com/entry/FFGGPYMQT, voided
S1677995747,nba,2019/02/06,NBA tournament,$60k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/DJQWGIKZB, voided
S1677995744,nba,2019/02/06,NBA tournament,$60k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/DPNUPSMBJ, voided
S1677995746,nba,2019/02/06,NBA tournament,$60k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/DOLZQJOFR, voided
S1677995707,nba,2019/02/06,NBA tournament,$60k,,,0,,Cancelled,1,0,https://www.fanduel.com/entry/DTVANJPHJ, voided
S1677874766,nba,2019/02/05,$15K Tue NBA Assist (Single Entry),$60k,271.70,,2202,3571,Tournament,5,0,https://www.fanduel.com/entry/EUOEVURPD,
S1677874622,nba,2019/02/05,$50K Tue NBA Block (Single Entry Series Pres. by RotoGrinders),$60k,301.60,,3230,19841,Tournament,3,6.00,https://www.fanduel.com/entry/EAFWHWBXD,
S1675699526,nba,2019/02/03,$5K Sun NBA Swat (3 Entries Max),$60k,178,,5817,5952,Tournament,1,0,https://www.fanduel.com/entry/DJQWHPZOG,
S1675699528,nba,2019/02/03,$5K Sun NBA Swat (3 Entries Max),$60k,178,,5817,5952,Tournament,1,0,https://www.fanduel.com/entry/DJCYUYNQK,
S1675699506,nba,2019/02/03,$5K Sun NBA Swat (3 Entries Max),$60k,178,,5817,5952,Tournament,1,0,https://www.fanduel.com/entry/DZEBLCHDU,
S1675699489,nba,2019/02/03,$12K Sun NBA Block (Single Entry),$60k,178,,7011,7142,Tournament,2,0,https://www.fanduel.com/entry/DNKESIEZE,
S1675699439,nba,2019/02/03,$10K Sun NBA Dribbler (Single Entry),$60k,178,,11702,11904,Tournament,1,0,https://www.fanduel.com/entry/AKQUHYMPY,
S1674945181,nba,2019/02/02,$16K Sat NBA Block (Single Entry),$60k,238.30,,7791,9523,Tournament,2,0,https://www.fanduel.com/entry/DRRLNJCIR,
S1674945161,nba,2019/02/02,$9K Sat NBA Swat (3 Entries Max),$60k,238.30,,8865,10714,Tournament,1,0,https://www.fanduel.com/entry/CAJHAYZBD,
S1674945163,nba,2019/02/02,$9K Sat NBA Swat (3 Entries Max),$60k,238.30,,8865,10714,Tournament,1,0,https://www.fanduel.com/entry/BZVJOHNDH,
S1674945164,nba,2019/02/02,$9K Sat NBA Swat (3 Entries Max),$60k,238.30,,8865,10714,Tournament,1,0,https://www.fanduel.com/entry/CDORYZSOF,
S1674945120,nba,2019/02/02,$15K Sat NBA Dribbler (Single Entry),$60k,238.30,,14175,17857,Tournament,1,0,https://www.fanduel.com/entry/CKNLHSRMF,
S1674160157,nba,2019/02/01,$17K Fri NBA Block (Single Entry),$60k,269,,5864,10119,Tournament,2,0,https://www.fanduel.com/entry/BXRTKHSLX,
S1674160133,nba,2019/02/01,$10K Fri NBA Swat (3 Entries Max),$60k,300.30,,1796,11904,Tournament,1,2.00,https://www.fanduel.com/entry/DZRZQDACJ,
S1674160134,nba,2019/02/01,$10K Fri NBA Swat (3 Entries Max),$60k,271.10,,6277,11904,Tournament,1,0,https://www.fanduel.com/entry/DZECDLOEN,
S1674160130,nba,2019/02/01,$10K Fri NBA Swat (3 Entries Max),$60k,262.50,,7673,11904,Tournament,1,0,https://www.fanduel.com/entry/EAFXCUMAF,
S1674160057,nba,2019/02/01,$17K Fri NBA Dribbler (Single Entry),$60k,286.40,,6118,20238,Tournament,1,0,https://www.fanduel.com/entry/CHVXRBKWZ,
S1673452801,nba,2019/01/31,$10K Thu NBA Swat (3 Entries Max),$60k,250.40,,9894,11904,Tournament,1,0,https://www.fanduel.com/entry/DCSDOUXOQ,
S1673452802,nba,2019/01/31,$10K Thu NBA Swat (3 Entries Max),$60k,250.40,,9894,11904,Tournament,1,0,https://www.fanduel.com/entry/DCEGCDLQU,
S1673452799,nba,2019/01/31,$10K Thu NBA Swat (3 Entries Max),$60k,250.40,,9894,11904,Tournament,1,0,https://www.fanduel.com/entry/DDGBBMJMM,
S1673452739,nba,2019/01/31,$17K Thu NBA Block (Single Entry),$60k,250.40,,8378,10119,Tournament,2,0,https://www.fanduel.com/entry/ERIUPSAII,
S1673452542,nba,2019/01/31,$18K Thu NBA Dribbler (Single Entry),$60k,277.70,,9742,21428,Tournament,1,0,https://www.fanduel.com/entry/DYCHBYSDS,
S1673346711,nba,2019/01/30,$250 Wed NBA 6th Man Dribbler (Single Entry),$0k,200.65,,211,297,Tournament,1,0,https://www.fanduel.com/entry/EVPZYSUZQ,
S1673345331,nba,2019/01/30,3-Point Challenge,$0k,9.50,,13987,25723,Tournament,0,0,https://www.fanduel.com/entry/AQNSKLOCW,
S1673343415,nba,2019/01/30,$15K Wed NBA Assist (Single Entry),$60k,304.50,,137,3571,Tournament,5,20.00,https://www.fanduel.com/entry/BTYKGCKHM,
S1673342767,nba,2019/01/30,$750 Pro Weekly FDP Loyalty Free Play (4 of 4),$60k,304.50,,159,5161,Tournament,0,0.50,https://www.fanduel.com/entry/BKIDMHPRM,
S1672689273,nba,2019/01/30,$10K Wed NBA Swat (3 Entries Max),$60k,281.40,,1879,11904,Tournament,1,2.00,https://www.fanduel.com/entry/AHZGPVYKQ,
S1672689274,nba,2019/01/30,$10K Wed NBA Swat (3 Entries Max),$60k,241.20,,7335,11904,Tournament,1,0,https://www.fanduel.com/entry/AHLJDEMMU,
S1672689276,nba,2019/01/30,$10K Wed NBA Swat (3 Entries Max),$60k,267.90,,3260,11904,Tournament,1,0,https://www.fanduel.com/entry/ACCIGLXII,
S1672689235,nba,2019/01/30,$18K Wed NBA Block (Single Entry),$60k,312.40,,240,10714,Tournament,2,8.00,https://www.fanduel.com/entry/EZJIGKSOI,
S1672689166,nba,2019/01/30,$15K Wed NBA Dribbler (Single Entry),$60k,257.30,,7113,17857,Tournament,1,0,https://www.fanduel.com/entry/EFOXFOTQA,
S1671994169,nba,2019/01/29,$17K Tue NBA Block (Single Entry),$60k,313.70,,2796,10119,Tournament,2,0,https://www.fanduel.com/entry/BTKNTYTOO,
S1671994147,nba,2019/01/29,$9K Tue NBA Swat (3 Entries Max),$60k,256.60,,10136,10714,Tournament,1,0,https://www.fanduel.com/entry/FFUFDLFOO,
S1671994148,nba,2019/01/29,$9K Tue NBA Swat (3 Entries Max),$60k,319.20,,2230,10714,Tournament,1,0,https://www.fanduel.com/entry/FFGHQTTQS,
S1671994150,nba,2019/01/29,$9K Tue NBA Swat (3 Entries Max),$60k,303.10,,4651,10714,Tournament,1,0,https://www.fanduel.com/entry/FALEGSQKC,
S1671994039,nba,2019/01/29,$15K Tue NBA Dribbler (Single Entry),$60k,270.90,,15016,17857,Tournament,1,0,https://www.fanduel.com/entry/BNNPKKZNQ,
S1671503007,epl,2019/01/30,$700 Wed EPL Equalizer (Single Entry),$60k,159.60,,51,833,Tournament,1,3.00,https://www.fanduel.com/entry/BFNAJSJSG,
S1671502630,epl,2019/01/29,$800 Tue EPL Equalizer (Single Entry),$60k,89.70,,878,952,Tournament,1,0,https://www.fanduel.com/entry/AZQCAPUNE,
S1671361279,nba,2019/01/28,$16K Mon NBA Block (Single Entry),$60k,246.20,,7586,9523,Tournament,2,0,https://www.fanduel.com/entry/DPNUZMAKE,
S1671361248,nba,2019/01/28,$10K Mon NBA Swat (3 Entries Max),$60k,267.10,,6082,11904,Tournament,1,0,https://www.fanduel.com/entry/DNKFAUESU,
S1671361246,nba,2019/01/28,$10K Mon NBA Swat (3 Entries Max),$60k,261.30,,7195,11904,Tournament,1,0,https://www.fanduel.com/entry/DSTFXMTXG,
S1671361247,nba,2019/01/28,$10K Mon NBA Swat (3 Entries Max),$60k,238.30,,10221,11904,Tournament,1,0,https://www.fanduel.com/entry/DNYCNLQQQ,
S1671361156,nba,2019/01/28,$16K Mon NBA Dribbler (Single Entry),$60k,238.10,,15928,19047,Tournament,1,0,https://www.fanduel.com/entry/AETWBOTHW,
S1670167006,nba,2019/01/26,$16K Sat NBA Block (Single Entry),$60k,317.70,,800,9523,Tournament,2,5.00,https://www.fanduel.com/entry/ECXKMHHEO,
S1670166989,nba,2019/01/26,$9K Sat NBA Swat (3 Entries Max),$60k,317.70,,856,10714,Tournament,1,2.50,https://www.fanduel.com/entry/BYFQZGVKS,
S1670166990,nba,2019/01/26,$9K Sat NBA Swat (3 Entries Max),$60k,317.70,,856,10714,Tournament,1,2.50,https://www.fanduel.com/entry/BXRTMPJMW,
S1670166991,nba,2019/01/26,$9K Sat NBA Swat (3 Entries Max),$60k,317.70,,856,10714,Tournament,1,2.50,https://www.fanduel.com/entry/BSWQCOGGG,
S1670166915,nba,2019/01/26,$16K Sat NBA Dribbler (Single Entry),$60k,317.70,,1271,19047,Tournament,1,3.00,https://www.fanduel.com/entry/CNEYLXNQO,
S1669439544,nba,2019/01/25,$18K Fri NBA Block (Single Entry),$60k,254.10,,6954,10714,Tournament,2,0,https://www.fanduel.com/entry/BCVNQDLJP,
S1669439505,nba,2019/01/25,$10K Fri NBA Swat (3 Entries Max),$60k,254.10,,7810,11904,Tournament,1,0,https://www.fanduel.com/entry/BJGJMEYJT,
S1669439507,nba,2019/01/25,$10K Fri NBA Swat (3 Entries Max),$60k,254.10,,7810,11904,Tournament,1,0,https://www.fanduel.com/entry/BMLUKFRWV,
