Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1025976874,nfl,2016/09/22,50/50 Contest ($10 - Top 50% Win) (Thu-Mon),$60k,85.80,,80,100,Tournament,10,0,https://www.fanduel.com/entry/DWXNPIRWD,
S1025665013,nfl,2016/09/25,Jacksonville Sportsrich Showdown,$60k,74.86,,1145,1335,Tournament,0,0,https://www.fanduel.com/entry/EUZEFJUEI,
S1025578379,mlb,2016/09/22,$8K Thu MLB Stolen Base (Single Entry),$35k,76.40,,4206,4624,Tournament,2,0,https://www.fanduel.com/entry/CPTNISEJP,
S1025578140,mlb,2016/09/22,$10K Thu MLB Bunt (Single Entry),$35k,63.40,,11040,11560,Tournament,1,0,https://www.fanduel.com/entry/FDNQHDVGB,
S1025433847,nfl,2016/09/25,NFL 20 player league (Main),$60k,,,0,,Cancelled,10,0,https://www.fanduel.com/entry/DVHVOFSBR, voided
S1025271093,nfl,2016/09/25,My Loser Friends (NFL Week 3),$60k,109.98,,5,8,8 player league,5,0,https://www.fanduel.com/entry/BBQSCTGZM,
S1025107421,nfl,2016/09/25,$1k Sun NFL Mini Squib (Single Entry),$60k,109.98,,358,1176,Tournament,1,0,https://www.fanduel.com/entry/APWWBXHDO,
S1025058880,mlb,2016/09/21,$5K Wed MLB Stolen Base (Single Entry),$35k,74.80,,2281,2890,Tournament,2,0,https://www.fanduel.com/entry/ASALROFEF,
S1025058835,mlb,2016/09/21,$7K Wed MLB Bunt (Single Entry) ,$35k,103.60,,4168,8092,Tournament,1,0,https://www.fanduel.com/entry/BRRVBUFEV,
S1025058057,mlb,2016/09/21,$3K Wed MLB Bunt (Single Entry_ Early Only),$35k,39.50,,3424,3468,Tournament,1,0,https://www.fanduel.com/entry/DJNXBDGHL,
S1024890312,nfl,2016/09/25,$1k Sun NFL Mini Squib (Single Entry),$60k,87.98,,728,1176,Tournament,1,0,https://www.fanduel.com/entry/CHSYIDHRV,
S1024888588,nfl,2016/09/25,$1k Sun NFL Mini Squib (Single Entry),$60k,94.36,,723,1176,Tournament,1,0,https://www.fanduel.com/entry/DROLZZJVF,
S1024355107,nfl,2016/09/25,$300K 5-Week NFL Survivor Round 2,$60k,109.98,,45329,130073,Tournament,0,0,https://www.fanduel.com/entry/CWEHMHUCY,
S1024355121,nfl,2016/09/25,$300K 5-Week NFL Survivor Round 2,$60k,109.98,,45329,130073,Tournament,0,0,https://www.fanduel.com/entry/CYVUXRBSE,
S1024354955,nfl,2016/09/25,$300K 5-Week NFL Survivor Round 2,$60k,109.98,,45329,130073,Tournament,0,0,https://www.fanduel.com/entry/EIDLBVPHK,
S1024246976,nfl,2016/09/25,$100K Sun NFL Spike (Single Entry),$60k,109.98,,9348,23529,Tournament,5,0,https://www.fanduel.com/entry/DXZHSWWAN,
S1024246902,nfl,2016/09/25,$80K Sun NFL Safety (Single Entry),$60k,100.26,,25512,47059,Tournament,2,0,https://www.fanduel.com/entry/CRJEZXXBX,
S1024246770,nfl,2016/09/25,50/50 Contest ($10 - Top 50% Win) (Main),$60k,109.98,,53,100,Tournament,10,0,https://www.fanduel.com/entry/AURZRCQND,
S1024246696,nfl,2016/09/25,50/50 Contest ($10 - Top 50% Win) (Main),$60k,109.98,,55,100,Tournament,10,0,https://www.fanduel.com/entry/CYHYJCAVT,
S1024246265,nfl,2016/09/25,Top 3 pay.... I promise!!!,$60k,109.98,,10,20,20 player league,10,0,https://www.fanduel.com/entry/AZNDBLFQZ,
S1024244550,nfl,2016/09/25,$100K 4-Week NFL Survivor ($10K to 1st) ,$60k,100.26,,3056,4003,Tournament,12,0,https://www.fanduel.com/entry/EDIIMDYMF,
S1024172758,mlb,2016/09/20,$8K Tue MLB Stolen Base (Single Entry),$35k,158.10,,743,4624,Tournament,2,5.00,https://www.fanduel.com/entry/CWEIOVUNM,
S1024172719,mlb,2016/09/20,50/50 Contest ($10 - Top 50% Win) (Main),$35k,158.10,,54,100,Tournament,10,0,https://www.fanduel.com/entry/BNKPXISWC,
S1024039695,mlb,2016/09/20,$9K Tue MLB Bunt (Single Entry),$35k,114.80,,5903,10404,Tournament,1,0,https://www.fanduel.com/entry/CFBKWBJKA,
S1023807431,mlb,2016/09/19,50/50 Contest ($10 - Top 50% Win) (Main),$35k,66.70,,88,100,Tournament,10,0,https://www.fanduel.com/entry/CZJSSNBPK,
