Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1862702827,nba,11/5/19,50/50 League ($1 - Top 50% Win) (Main),$60k,337.6,,3,100,Tournament,1,1.8,https://www.fanduel.com/entry/EWDQRWIEP
S1862702761,nba,11/5/19,50/50 League ($1 - Top 50% Win) (Main),$60k,337.6,,3,100,Tournament,1,1.8,https://www.fanduel.com/entry/ESYFUGTNJ
S1862639831,nba,11/5/19,$10K Tue NBA Swat (3 Entries Max),$60k,267.2,,6598,11904,Tournament,1,0,https://www.fanduel.com/entry/EVBVMQNNK
S1862639836,nba,11/5/19,$10K Tue NBA Swat (3 Entries Max),$60k,283.4,,4309,11904,Tournament,1,0,https://www.fanduel.com/entry/EUNXZZBPO
S1862639840,nba,11/5/19,$10K Tue NBA Swat (3 Entries Max),$60k,207.2,,11684,11904,Tournament,1,0,https://www.fanduel.com/entry/EXTIXZVCQ
S1862639598,nba,11/5/19,$18K Tue NBA Block (Single Entry),$60k,229.3,,9759,10714,Tournament,2,0,https://www.fanduel.com/entry/ARBJBHKDS
S1862639182,nba,11/5/19,$15K Tue NBA Dribbler (Single Entry),$60k,337.6,,221,17857,Tournament,1,6,https://www.fanduel.com/entry/DIOUKWLGY
S1862453064,nba,11/4/19,$250 NBA Small Swat,$60k,320.7,,202,297,Tournament,1,0,https://www.fanduel.com/entry/AYNZSRKML
S1862452984,nba,11/4/19,$250 NBA Small Swat,$60k,298.7,,248,297,Tournament,1,0,https://www.fanduel.com/entry/DGLEHPHHZ
S1862452840,nba,11/4/19,$250 NBA Small Swat,$60k,277.8,,279,297,Tournament,1,0,https://www.fanduel.com/entry/FAYTSHPZV
S1862452391,nba,11/4/19,$1K Mon NBA Block (Single Entry),$60k,317.1,,436,595,Tournament,2,0,https://www.fanduel.com/entry/AYACFWFPZ
S1862449827,nba,11/4/19,$12K Mon NBA Dime (Single Entry),$60k,360.7,,307,1411,Tournament,10,10.91,https://www.fanduel.com/entry/AHLCJMUUL
S1862438756,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,32,100,Tournament,2,3.6,https://www.fanduel.com/entry/AHLCKUJHZ
S1862438570,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,29,100,Tournament,2,3.6,https://www.fanduel.com/entry/CLOYPSRLR
S1862438399,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,20,100,Tournament,2,3.6,https://www.fanduel.com/entry/BBFNMBNCD
S1862438263,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,19,100,Tournament,2,3.6,https://www.fanduel.com/entry/FBMRMZWYD
S1862438093,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,19,100,Tournament,2,3.6,https://www.fanduel.com/entry/AIMXKKTAX
S1862437936,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,18,100,Tournament,2,3.6,https://www.fanduel.com/entry/CKNDQGARJ
S1862437787,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,20,100,Tournament,2,3.6,https://www.fanduel.com/entry/DLUFMTWIT
S1862437618,nba,11/4/19,50/50 League ($1 - Top 50% Win) (Main),$60k,360.7,,21,100,Tournament,1,1.8,https://www.fanduel.com/entry/EDYYBPLNN
S1862437460,nba,11/4/19,50/50 League ($1 - Top 50% Win) (Main),$60k,360.7,,27,100,Tournament,1,1.8,https://www.fanduel.com/entry/AZPVAXNAH
S1862437315,nba,11/4/19,50/50 League ($1 - Top 50% Win) (Main),$60k,360.7,,22,100,Tournament,1,1.8,https://www.fanduel.com/entry/ACPZCAUOX
S1862430791,nfl,11/10/19,$4_000 Pro Monthly FDP Loyalty Free Play,$60k,148.74,,1359,10624,Tournament,0,0.25,https://www.fanduel.com/entry/DFJJULHYP
S1861888387,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,19,100,Tournament,2,3.6,https://www.fanduel.com/entry/DOLTMIHRF
S1861888269,nba,11/4/19,50/50 League ($2 - Top 50% Win) (Main),$60k,360.7,,21,100,Tournament,2,3.6,https://www.fanduel.com/entry/CXIVWRXJN
