Entry Id,Date,Score,Entries,Entry,Winnings,Profit,Sport,Type
S1124007655,2017-01-01,135.2,5042.0,7.0,0.0,-7.0,nfl,tourney
S1129890321,2017-01-01,82.88,110080.0,2.0,0.0,-2.0,nfl,tourney
S1129826425,2017-01-01,111.5,4.0,5.0,0.0,-5.0,nfl,tourney
S1129544973,2017-01-01,97.0,4705.0,1.0,0.0,-1.0,nfl,tourney
S1129520203,2017-01-01,300.5,5.0,5.0,0.0,-5.0,nba,tourney
S1129502477,2017-01-01,111.5,100.0,25.0,0.0,-25.0,nfl,fifty
S1129502258,2017-01-01,111.5,100.0,25.0,0.0,-25.0,nfl,fifty
S1129324307,2017-01-01,111.5,20.0,10.0,0.0,-10.0,nfl,tourney
S1129319606,2017-01-01,89.54,7.0,5.0,0.0,-5.0,nfl,tourney
S1129113597,2017-01-01,300.5,23529.0,1.0,0.0,-1.0,nba,tourney
S1124007647,2017-01-01,143.24,5042.0,7.0,15.0,8.0,nfl,tourney
S1127222186,2017-01-01,111.5,29411.0,2.0,0.0,-2.0,nfl,tourney
S1127221452,2017-01-01,111.5,14117.0,5.0,0.0,-5.0,nfl,tourney
S1128121031,2017-01-01,111.5,9.0,10.0,0.0,-10.0,nfl,tourney
S1126502789,2017-01-01,79.38,176.0,1.0,0.0,-1.0,nfl,tourney
S1124007641,2017-01-01,116.44,5042.0,7.0,0.0,-7.0,nfl,tourney
S1124007581,2017-01-01,78.58,15686.0,3.0,0.0,-3.0,nfl,tourney
S1124007573,2017-01-01,103.1,15686.0,3.0,0.0,-3.0,nfl,tourney
S1124007567,2017-01-01,113.08,15686.0,3.0,0.0,-3.0,nfl,tourney
S1124007527,2017-01-01,111.5,20588.0,2.0,0.0,-2.0,nfl,tourney
S1124007436,2017-01-01,111.5,47058.0,1.0,0.0,-1.0,nfl,tourney
S1124007664,2017-01-01,91.5,5042.0,7.0,0.0,-7.0,nfl,tourney
S1126796315,2017-01-01,103.5,51764.0,25.0,0.0,-25.0,nfl,tourney
S1124007671,2017-01-01,88.14,5042.0,7.0,0.0,-7.0,nfl,tourney
S1126501610,2017-01-01,89.54,1176.0,1.0,0.0,-1.0,nfl,tourney
S1126502128,2017-01-01,81.08,1176.0,1.0,0.0,-1.0,nfl,tourney
S1126502713,2017-01-01,79.38,1176.0,1.0,0.0,-1.0,nfl,tourney
S1375272521,2018-01-01,297.5,11904.0,1.0,0.0,-1.0,nba,tourney
S1375272523,2018-01-01,297.5,11904.0,1.0,0.0,-1.0,nba,tourney
S1375272468,2018-01-01,297.5,10119.0,2.0,0.0,-2.0,nba,tourney
S1375272395,2018-01-01,297.5,23809.0,1.0,0.0,-1.0,nba,tourney
S1375272520,2018-01-01,297.5,11904.0,1.0,0.0,-1.0,nba,tourney
S1648200068,2019-01-01,127.5,297.0,2.0,0.0,-2.0,epl,tourney
S1648200130,2019-01-01,105.5,476.0,1.0,0.0,-1.0,epl,tourney
S1648494695,2019-01-01,106.14,3571.0,1.0,2.0,1.0,cfb,tourney
S1648496522,2019-01-01,180.5,297.0,2.0,4.0,2.0,cbb,tourney
S1648495553,2019-01-01,65.02,595.0,1.0,0.0,-1.0,cfb,tourney
S1648495007,2019-01-01,79.1,3306.0,9.0,0.0,-9.0,cfb,tourney
S1648494927,2019-01-01,99.34,3571.0,1.0,0.0,-1.0,cfb,tourney
S1648494890,2019-01-01,107.3,3571.0,1.0,2.0,1.0,cfb,tourney
S1943075886,2020-01-01,307.5,100.0,1.0,0.49,-0.51,nba,fifty
S1943076449,2020-01-01,307.5,100.0,5.0,1.66,-3.34,nba,fifty
S1943076393,2020-01-01,307.5,100.0,5.0,2.2,-2.8,nba,fifty
S1943075976,2020-01-01,307.5,100.0,1.0,0.66,-0.33999999999999997,nba,fifty
S1943075803,2020-01-01,307.5,100.0,1.0,0.41,-0.5900000000000001,nba,fifty
S1943075613,2020-01-01,307.5,100.0,2.0,1.26,-0.74,nba,fifty
S1943075561,2020-01-01,307.5,100.0,2.0,1.2,-0.8,nba,fifty
S1943075484,2020-01-01,307.5,100.0,2.0,1.39,-0.6100000000000001,nba,fifty
S1943075704,2020-01-01,307.5,100.0,2.0,0.92,-1.08,nba,fifty
S1943075336,2020-01-01,307.5,100.0,2.0,1.39,-0.6100000000000001,nba,fifty
S1942481226,2020-01-01,172.0,714.0,1.0,6.0,5.0,epl,tourney
S1942481318,2020-01-01,159.4,297.0,2.0,6.0,4.0,epl,tourney
